task,model,seed,pearson_mean,rmse_mean,mae_mean,eta_mean
WM,A0,2727,0.26585910091397175,11.157850107620764,9.155474970071811,
WM,A0,2828,0.2863131128496142,11.014098165207773,8.998516405219567,
WM,A0,2929,0.22349096613693767,11.844975512069812,9.671827917605976,
WM,A0,3030,0.2748378863181435,11.224090523934525,9.085382306512335,
WM,A1,2727,0.2587047130455966,11.133265671700562,9.119625397389486,0.12000000000000002
WM,A1,2828,0.2773300762987825,11.037256740802686,9.007890684168,0.05
WM,A1,2929,0.21599078637793784,11.8444012903949,9.665407139686845,0.06999999999999999
WM,A1,3030,0.24398130312749702,11.36439978456367,9.198104349322742,0.13
WM,A2,2727,0.2587047130455966,11.133265671700562,9.119625397389486,0.12000000000000002
WM,A2,2828,0.2773300762987825,11.037256740802686,9.007890684168,0.05
WM,A2,2929,0.21599078637793784,11.8444012903949,9.665407139686845,0.06999999999999999
WM,A2,3030,0.24398130312749702,11.36439978456367,9.198104349322742,0.13
WM,A3,2727,0.2652673315722758,11.146160600019279,9.140808566802622,0.02
WM,A3,2828,0.2863131128496142,11.014098165207773,8.998516405219567,0.0
WM,A3,2929,0.22349096613693767,11.844975512069812,9.671827917605976,0.0
WM,A3,3030,0.2743384726808951,11.225426788840675,9.087554410395137,0.04
WM,A4,2727,0.2562751879790634,11.170325001148278,9.143642140899189,0.07
WM,A4,2828,0.2863131128496142,11.014098165207773,8.998516405219567,0.0
WM,A4,2929,0.22349096613693767,11.844975512069812,9.671827917605976,0.0
WM,A4,3030,0.2748378863181435,11.224090523934525,9.085382306512335,0.0
WM,A5,2727,0.2565855268079518,11.13058258512687,9.098185913623968,0.12000000000000002
WM,A5,2828,0.2857254121338736,11.005579948896148,9.003547463042237,0.030000000000000006
WM,A5,2929,0.22349096613693767,11.844975512069812,9.671827917605976,0.0
WM,A5,3030,0.2744907273933487,11.179698206131231,9.044052282716198,0.1
WM,A6,2727,0.2648653511060608,11.162282948776838,9.113980672765301,0.2
WM,A6,2828,0.28541414974747886,10.967461181904065,8.972902678232463,0.13
WM,A6,2929,0.2237767448792382,11.761446134494442,9.597694611992935,0.10000000000000002
WM,A6,3030,0.27431480735471536,11.258796998524707,9.109134441188436,0.09
FI,A0,2727,0.34824804989102687,4.651889036665788,3.8838080522330563,
FI,A0,2828,0.34475296444745773,4.634437922884257,3.8597520476776395,
FI,A0,2929,0.39509899630432876,4.5041722617848095,3.740450551713651,
FI,A0,3030,0.36453668523379557,4.524005498363884,3.768004736310752,
FI,A1,2727,0.3388256554522787,4.6604199122238015,3.897708257574255,0.07
FI,A1,2828,0.3445961647922443,4.622453575545218,3.8649311869837555,0.06999999999999999
FI,A1,2929,0.39045658234216535,4.514347169904665,3.771823993752034,0.1
FI,A1,3030,0.3673528219272858,4.527138454385903,3.784875623493882,0.12000000000000002
FI,A2,2727,0.3388256554522787,4.6604199122238015,3.897708257574255,0.07
FI,A2,2828,0.3445961647922443,4.622453575545218,3.8649311869837555,0.06999999999999999
FI,A2,2929,0.39045658234216535,4.514347169904665,3.771823993752034,0.1
FI,A2,3030,0.3673528219272858,4.527138454385903,3.784875623493882,0.12000000000000002
FI,A3,2727,0.34824804989102687,4.651889036665788,3.8838080522330563,0.0
FI,A3,2828,0.34455895586990015,4.62400731729281,3.8568844287319832,0.02
FI,A3,2929,0.39509899630432876,4.5041722617848095,3.740450551713651,0.0
FI,A3,3030,0.36379101295603306,4.53470821003958,3.7904926544931383,0.09000000000000001
FI,A4,2727,0.34824804989102687,4.651889036665788,3.8838080522330563,0.0
FI,A4,2828,0.34475296444745773,4.634437922884257,3.8597520476776395,0.0
FI,A4,2929,0.3950875071478571,4.508203695271695,3.750122961236589,0.02
FI,A4,3030,0.36451291541202946,4.524481093084157,3.7711659898895156,0.01
FI,A5,2727,0.346805785444624,4.665911205790643,3.905290481536273,0.15000000000000002
FI,A5,2828,0.346888406641379,4.6386235983765385,3.878431486461784,0.13000000000000003
FI,A5,2929,0.3939832279387034,4.543223986153171,3.811783595055181,0.19
FI,A5,3030,0.3632362204036201,4.561377838840512,3.840706871702139,0.21000000000000002
FI,A6,2727,0.34743931515822385,4.645761110873549,3.883156915315978,0.04
FI,A6,2828,0.3425080519842516,4.650551206160189,3.887032530852399,0.1
FI,A6,2929,0.394841475564898,4.507207660559897,3.7483044100969414,0.02
FI,A6,3030,0.3641566651374449,4.573948499613026,3.8396345646669894,0.21000000000000002
