task,control_model,a3_pearson_mean,control_pearson_mean,delta
WM,A4,0.2623524708099307,0.26022928832093967,0.0021231824889910156
WM,A5,0.2623524708099307,0.26007315811802795,0.002279312691902735
WM,A6,0.2623524708099307,0.26209276327187336,0.00025970753805731883
FI,A4,0.3629242537553222,0.36315035922459277,-0.0002261054692705433
FI,A5,0.3629242537553222,0.3627284101070816,0.0001958436482406012
FI,A6,0.3629242537553222,0.36223637696120453,0.0006878767941176922
