task,seed,fold,model,pearson,rmse,mae,oof_r,eta
WM,2929,0,A5,0.18012109838952234,11.232721223087015,9.573544991991481,0.2732451139391331,0.0
WM,2929,0,A6,0.18340668793387516,10.940166645838287,9.250642938124834,0.2839055490842056,0.35000000000000003
WM,2929,1,A0,0.38571041929499267,10.818479019381103,8.89664525093707,0.24630986841496055,
WM,2929,1,A1,0.3492113435912654,10.845095521176221,8.864327167691222,0.2593962127232723,0.25
WM,2929,1,A2,0.3492113435912654,10.845095521176221,8.864327167691222,0.2593962127232723,0.25
WM,2929,1,A3,0.38571041929499267,10.818479019381103,8.89664525093707,0.24630986841496055,0.0
WM,2929,1,A4,0.38571041929499267,10.818479019381103,8.89664525093707,0.24630986841496055,0.0
WM,2929,1,A5,0.38571041929499267,10.818479019381103,8.89664525093707,0.24630986841496055,0.0
WM,2929,1,A6,0.3794612472131596,10.73698412362949,8.860242282190953,0.24659904485757683,0.1
WM,2929,2,A0,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,
WM,2929,2,A1,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,0.0
WM,2929,2,A2,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,0.0
WM,2929,2,A3,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,0.0
WM,2929,2,A4,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,0.0
WM,2929,2,A5,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,0.0
WM,2929,2,A6,0.06928353890156161,14.063066462259856,11.683206120318996,0.23883159873096305,0.0
WM,2929,3,A0,0.21519061295760838,11.95691704128753,9.39250697546531,0.23244129628258003,
WM,2929,3,A1,0.21418878986633663,11.927429431117849,9.392721169115518,0.23317272334904912,0.1
WM,2929,3,A2,0.21418878986633663,11.927429431117849,9.392721169115518,0.23317272334904912,0.1
WM,2929,3,A3,0.21519061295760838,11.95691704128753,9.39250697546531,0.23244129628258003,0.0
WM,2929,3,A4,0.21519061295760838,11.95691704128753,9.39250697546531,0.23244129628258003,0.0
WM,2929,3,A5,0.21519061295760838,11.95691704128753,9.39250697546531,0.23244129628258003,0.0
WM,2929,3,A6,0.2195830892065915,11.913319626411019,9.381145470012887,0.23249595506810083,0.05
WM,2929,4,A0,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,
WM,2929,4,A1,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,0.0
WM,2929,4,A2,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,0.0
WM,2929,4,A3,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,0.0
WM,2929,4,A4,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,0.0
WM,2929,4,A5,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,0.0
WM,2929,4,A6,0.2671491611410033,11.153693814333556,8.813236249317011,0.2792551952087031,0.0
WM,3030,0,A0,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,
WM,3030,0,A1,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,0.0
WM,3030,0,A2,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,0.0
WM,3030,0,A3,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,0.0
