task,model,pearson_mean,pearson_std,rmse_mean,mae_mean,eta_mean,n_seeds
WM,A0,0.2626252665546668,0.02739959426359455,11.310253577208218,9.227800399852422,,4
WM,A1,0.24900171971245347,0.02589446638960772,11.344830871865454,9.24775689264177,0.09250000000000001,4
WM,A2,0.24900171971245347,0.02589446638960772,11.344830871865454,9.24775689264177,0.09250000000000001,4
WM,A3,0.2623524708099307,0.0273037821953756,11.307665266534386,9.224676825005824,0.015,4
WM,A4,0.26022928832093967,0.02744155160758802,11.313372300590096,9.224842192559267,0.0175,4
WM,A5,0.26007315811802795,0.027180414408163527,11.290209063056015,9.204403394247095,0.0625,4
WM,A6,0.26209276327187336,0.02688909281642235,11.287496815925014,9.198428101044785,0.13,4
FI,A0,0.3631591739691522,0.022972301860549573,4.578626179924685,3.8130038469837744,,4
FI,A1,0.36030780612849356,0.023572013249768802,4.581089778014897,3.8298347654509817,0.09000000000000001,4
FI,A2,0.36030780612849356,0.023572013249768802,4.581089778014897,3.8298347654509817,0.09000000000000001,4
FI,A3,0.3629242537553222,0.02301188429119119,4.578694206445746,3.8179089217929576,0.027500000000000004,4
FI,A4,0.36315035922459277,0.02296650412300075,4.579752936976474,3.8162122627592,0.0075,4
FI,A5,0.3627284101070816,0.02222279006575688,4.602284157290216,3.859053108688844,0.17,4
FI,A6,0.36223637696120453,0.02362865355194746,4.5943671193016655,3.839532105233077,0.0925,4
