task,control_prior,control_display,seed,fp_r_matched,fp_r_control,fp_delta_r,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control
fluid_intelligence,cross_task,Cross-task,0,0.21692381117798248,0.20739860394868975,-0.00952520722929274,0.3723431448993256,0.3699359541503952,-0.002407190748930382,4.54174907823141,4.546148063065081,3.769603864018346,3.769012448722907
fluid_intelligence,cross_task,Cross-task,1,0.24434022958064866,0.23483772261613667,-0.009502506964511975,0.3438194451306792,0.3395932321636953,-0.004226212966983967,4.645030622670528,4.65389413574988,3.849290010725935,3.8559011685929656
fluid_intelligence,cross_task,Cross-task,2,0.24447127652042872,0.23698953675336298,-0.007481739767065737,0.3964566940372961,0.3943690121643157,-0.0020876818729803626,4.5158433336066635,4.520679900269429,3.7301554072724734,3.735907234716469
fluid_intelligence,cross_task,Cross-task,3,0.20957890839287185,0.20799843677303675,-0.0015804716198351333,0.34393099340023653,0.3431753046384995,-0.0007556887617370334,4.629744166256099,4.63133832095196,3.7912634211175087,3.7922503182312672
fluid_intelligence,cross_task,Cross-task,4,0.23770049404420387,0.22089060173618097,-0.016809892308022906,0.35869657363698826,0.3566637068178908,-0.002032866819097534,4.5819904762981,4.586008762769685,3.8044520137347524,3.8102568302175825
fluid_intelligence,cross_task,Cross-task,5,0.22938938251564517,0.21725390018844032,-0.012135482327204855,0.3605802366582141,0.3595822053892254,-0.000998031268988686,4.580055606409138,4.582726033000817,3.7959931399212294,3.797366099614559
fluid_intelligence,cross_task,Cross-task,6,0.2131530680197724,0.2116014386631074,-0.0015516293566650353,0.3789107695634521,0.377794419033537,-0.0011163505299152,4.532700202424433,4.537731358026038,3.759108993181697,3.7678116685751584
fluid_intelligence,cross_task,Cross-task,7,0.20557415088228223,0.2056184091602967,4.425827801444182e-05,0.37535963206509604,0.37550489306131707,0.0001452609962209972,4.544622998134827,4.546749620373608,3.774394353936146,3.768861518205571
fluid_intelligence,cross_task,Cross-task,8,0.1960446453226305,0.19739321078950453,0.0013485654668740187,0.3441559758794248,0.3464260396301548,0.002270063750729967,4.646597514711924,4.642986712473324,3.849254104858099,3.8421640688429277
fluid_intelligence,cross_task,Cross-task,9,0.24139234733908355,0.2476236928430328,0.006231345503949254,0.4260603793225286,0.42868536731900553,0.002624987996476924,4.4609989263849785,4.455509327837435,3.705810132726871,3.7021191975507173
